Observation station,Year,Month,Day,Time [UTC],Air temperature [°C],Snow depth [cm],Horizontal visibility [m]
"Tampere Härmälä","2023","12","01","00:00","-5.4","12","50000"
"Tampere Härmälä","2023","12","01","00:10","-5.4","12","50000"
"Tampere Härmälä","2023","12","01","00:20","-5.5","12","50000"
"Tampere Härmälä","2023","12","01","00:30","-5.5","12","50000"
"Tampere Härmälä","2023","12","01","00:40","-5.5","12","50000"
"Tampere Härmälä","2023","12","01","00:50","-5.5","12","50000"
"Tampere Härmälä","2023","12","01","01:00","-5.5","12","50000"
"Tampere Härmälä","2023","12","01","01:10","-5.5","12","50000"
"Tampere Härmälä","2023","12","01","01:20","-5.5","12","50000"
"Tampere Härmälä","2023","12","01","01:30","-5.6","12","50000"
"Tampere Härmälä","2023","12","01","01:40","-5.6","12","50000"
"Tampere Härmälä","2023","12","01","01:50","-5.6","12","50000"
"Tampere Härmälä","2023","12","01","02:00","-5.6","12","50000"
"Tampere Härmälä","2023","12","01","02:10","-5.7","12","50000"
"Tampere Härmälä","2023","12","01","02:20","-5.7","12","50000"
"Tampere Härmälä","2023","12","01","02:30","-5.7","12","50000"
"Tampere Härmälä","2023","12","01","02:40","-5.7","12","50000"
"Tampere Härmälä","2023","12","01","02:50","-5.7","12","50000"
"Tampere Härmälä","2023","12","01","03:00","-5.8","12","50000"
"Tampere Härmälä","2023","12","01","03:10","-5.8","12","50000"
"Tampere Härmälä","2023","12","01","03:20","-5.8","12","50000"
"Tampere Härmälä","2023","12","01","03:30","-5.8","12","50000"
"Tampere Härmälä","2023","12","01","03:40","-5.8","12","50000"
"Tampere Härmälä","2023","12","01","03:50","-5.9","12","50000"
"Tampere Härmälä","2023","12","01","04:00","-5.9","12","50000"
"Tampere Härmälä","2023","12","01","04:10","-5.9","12","50000"
"Tampere Härmälä","2023","12","01","04:20","-6","12","50000"
"Tampere Härmälä","2023","12","01","04:30","-6","12","50000"
"Tampere Härmälä","2023","12","01","04:40","-6","12","39412"
"Tampere Härmälä","2023","12","01","04:50","-6","12","13449"
"Tampere Härmälä","2023","12","01","05:00","-6.1","12","13016"
"Tampere Härmälä","2023","12","01","05:10","-6.1","12","18864"
"Tampere Härmälä","2023","12","01","05:20","-6.1","12","16510"
"Tampere Härmälä","2023","12","01","05:30","-6.1","12","15495"
"Tampere Härmälä","2023","12","01","05:40","-6.1","12","37141"
"Tampere Härmälä","2023","12","01","05:50","-6.1","12","21586"
"Tampere Härmälä","2023","12","01","06:00","-6.1","12","31529"
"Tampere Härmälä","2023","12","01","06:10","-6.2","12","5002"
"Tampere Härmälä","2023","12","01","06:20","-6.2","12","3886"
"Tampere Härmälä","2023","12","01","06:30","-6.3","12","3912"
"Tampere Härmälä","2023","12","01","06:40","-6.3","12","3013"
"Tampere Härmälä","2023","12","01","06:50","-6.4","12","4055"
"Tampere Härmälä","2023","12","01","07:00","-6.3","12","4615"
"Tampere Härmälä","2023","12","01","07:10","-6.4","12","2874"
"Tampere Härmälä","2023","12","01","07:20","-6.4","12","2211"
"Tampere Härmälä","2023","12","01","07:30","-6.4","12","2657"
"Tampere Härmälä","2023","12","01","07:40","-6.4","12","2772"
"Tampere Härmälä","2023","12","01","07:50","-6.4","12","4075"
"Tampere Härmälä","2023","12","01","08:00","-6.4","12","4815"
"Tampere Härmälä","2023","12","01","08:10","-6.5","12","2383"
"Tampere Härmälä","2023","12","01","08:20","-6.5","12","5210"
"Tampere Härmälä","2023","12","01","08:30","-6.5","12","5569"
"Tampere Härmälä","2023","12","01","08:40","-6.5","12","4145"
"Tampere Härmälä","2023","12","01","08:50","-6.6","12","3846"
"Tampere Härmälä","2023","12","01","09:00","-6.6","12","2262"
"Tampere Härmälä","2023","12","01","09:10","-6.7","12","927"
"Tampere Härmälä","2023","12","01","09:20","-6.8","12","1302"
"Tampere Härmälä","2023","12","01","09:30","-6.8","12","1322"
"Tampere Härmälä","2023","12","01","09:40","-6.8","12","1619"
"Tampere Härmälä","2023","12","01","09:50","-6.9","13","1566"
"Tampere Härmälä","2023","12","01","10:00","-6.8","13","1961"
"Tampere Härmälä","2023","12","01","10:10","-6.8","13","3931"
"Tampere Härmälä","2023","12","01","10:20","-6.7","13","5612"
"Tampere Härmälä","2023","12","01","10:30","-6.7","13","8166"
"Tampere Härmälä","2023","12","01","10:40","-6.8","13","13584"
"Tampere Härmälä","2023","12","01","10:50","-6.7","13","17376"
"Tampere Härmälä","2023","12","01","11:00","-6.7","13","17700"
"Tampere Härmälä","2023","12","01","11:10","-6.8","13","32257"
"Tampere Härmälä","2023","12","01","11:20","-6.8","13","39319"
"Tampere Härmälä","2023","12","01","11:30","-6.8","13","26454"
"Tampere Härmälä","2023","12","01","11:40","-6.9","13","49185"
"Tampere Härmälä","2023","12","01","11:50","-6.9","13","47631"
"Tampere Härmälä","2023","12","01","12:00","-7","13","35753"
"Tampere Härmälä","2023","12","01","12:10","-7","13","50000"
"Tampere Härmälä","2023","12","01","12:20","-7","13","50000"
"Tampere Härmälä","2023","12","01","12:30","-7","13","50000"
"Tampere Härmälä","2023","12","01","12:40","-7","13","50000"
"Tampere Härmälä","2023","12","01","12:50","-7","13","50000"
"Tampere Härmälä","2023","12","01","13:00","-7.1","13","48737"
"Tampere Härmälä","2023","12","01","13:10","-7.1","13","50000"
"Tampere Härmälä","2023","12","01","13:20","-7.2","13","50000"
"Tampere Härmälä","2023","12","01","13:30","-7.2","13","50000"
"Tampere Härmälä","2023","12","01","13:40","-7.2","13","50000"
"Tampere Härmälä","2023","12","01","13:50","-7.2","13","50000"
"Tampere Härmälä","2023","12","01","14:00","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","14:10","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","14:20","-7.5","13","50000"
"Tampere Härmälä","2023","12","01","14:30","-7.6","13","39944"
"Tampere Härmälä","2023","12","01","14:40","-7.7","13","19627"
"Tampere Härmälä","2023","12","01","14:50","-7.7","13","13247"
"Tampere Härmälä","2023","12","01","15:00","-7.8","13","23557"
"Tampere Härmälä","2023","12","01","15:10","-7.9","13","41484"
"Tampere Härmälä","2023","12","01","15:20","-7.8","13","50000"
"Tampere Härmälä","2023","12","01","15:30","-7.7","13","50000"
"Tampere Härmälä","2023","12","01","15:40","-7.6","13","50000"
"Tampere Härmälä","2023","12","01","15:50","-7.6","13","50000"
"Tampere Härmälä","2023","12","01","16:00","-7.5","13","50000"
"Tampere Härmälä","2023","12","01","16:10","-7.4","13","50000"
"Tampere Härmälä","2023","12","01","16:20","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","16:30","-7.4","13","50000"
"Tampere Härmälä","2023","12","01","16:40","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","16:50","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","17:00","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","17:10","-7.3","13","35786"
"Tampere Härmälä","2023","12","01","17:20","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","17:30","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","17:40","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","17:50","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","18:00","-7.4","13","50000"
"Tampere Härmälä","2023","12","01","18:10","-7.4","13","50000"
"Tampere Härmälä","2023","12","01","18:20","-7.3","13","50000"
"Tampere Härmälä","2023","12","01","18:30","-7.3","13","46799"
"Tampere Härmälä","2023","12","01","18:40","-7.3","13","30421"
"Tampere Härmälä","2023","12","01","18:50","-7.3","13","37335"
"Tampere Härmälä","2023","12","01","19:00","-7.4","13","30030"
"Tampere Härmälä","2023","12","01","19:10","-7.4","13","10215"
"Tampere Härmälä","2023","12","01","19:20","-7.4","13","20114"
"Tampere Härmälä","2023","12","01","19:30","-7.4","13","34306"
"Tampere Härmälä","2023","12","01","19:40","-7.4","13","50000"
"Tampere Härmälä","2023","12","01","19:50","-7.4","13","50000"
"Tampere Härmälä","2023","12","01","20:00","-7.5","13","31445"
"Tampere Härmälä","2023","12","01","20:10","-7.5","13","31330"
"Tampere Härmälä","2023","12","01","20:20","-7.5","13","21975"
"Tampere Härmälä","2023","12","01","20:30","-7.6","13","17987"
"Tampere Härmälä","2023","12","01","20:40","-7.6","13","34008"
"Tampere Härmälä","2023","12","01","20:50","-7.7","13","50000"
"Tampere Härmälä","2023","12","01","21:00","-7.7","13","50000"
"Tampere Härmälä","2023","12","01","21:10","-7.9","13","50000"
"Tampere Härmälä","2023","12","01","21:20","-7.8","13","50000"
"Tampere Härmälä","2023","12","01","21:30","-7.7","13","50000"
"Tampere Härmälä","2023","12","01","21:40","-7.6","13","50000"
"Tampere Härmälä","2023","12","01","21:50","-7.7","13","50000"
"Tampere Härmälä","2023","12","01","22:00","-7.7","13","45042"
"Tampere Härmälä","2023","12","01","22:10","-7.8","13","27224"
"Tampere Härmälä","2023","12","01","22:20","-7.8","13","46821"
"Tampere Härmälä","2023","12","01","22:30","-7.8","13","21841"
"Tampere Härmälä","2023","12","01","22:40","-7.8","13","29242"
"Tampere Härmälä","2023","12","01","22:50","-7.8","13","12019"
"Tampere Härmälä","2023","12","01","23:00","-7.9","13","14019"
"Tampere Härmälä","2023","12","01","23:10","-7.8","13","30783"
"Tampere Härmälä","2023","12","01","23:20","-7.9","13","27561"
"Tampere Härmälä","2023","12","01","23:30","-7.9","13","50000"
"Tampere Härmälä","2023","12","01","23:40","-7.9","13","50000"
"Tampere Härmälä","2023","12","01","23:50","-8","13","50000"
"Tampere Härmälä","2023","12","02","00:00","-8","13","50000"
"Tampere Härmälä","2023","12","02","00:10","-8.1","13","49850"
"Tampere Härmälä","2023","12","02","00:20","-8.1","13","50000"
"Tampere Härmälä","2023","12","02","00:30","-8.1","13","50000"
"Tampere Härmälä","2023","12","02","00:40","-8.2","13","39755"
"Tampere Härmälä","2023","12","02","00:50","-8.2","13","50000"
"Tampere Härmälä","2023","12","02","01:00","-8.3","13","28872"
"Tampere Härmälä","2023","12","02","01:10","-8.4","13","50000"
"Tampere Härmälä","2023","12","02","01:20","-8.4","13","50000"
"Tampere Härmälä","2023","12","02","01:30","-8.4","13","50000"
"Tampere Härmälä","2023","12","02","01:40","-8.4","13","50000"
"Tampere Härmälä","2023","12","02","01:50","-8.4","13","42712"
"Tampere Härmälä","2023","12","02","02:00","-8.3","13","28308"
"Tampere Härmälä","2023","12","02","02:10","-8.4","13","47834"
"Tampere Härmälä","2023","12","02","02:20","-8.5","13","37103"
"Tampere Härmälä","2023","12","02","02:30","-8.4","13","49377"
"Tampere Härmälä","2023","12","02","02:40","-8.4","13","50000"
"Tampere Härmälä","2023","12","02","02:50","-8.4","13","50000"
"Tampere Härmälä","2023","12","02","03:00","-8.4","13","50000"
"Tampere Härmälä","2023","12","02","03:10","-8.4","13","13142"
"Tampere Härmälä","2023","12","02","03:20","-8.4","13","2411"
"Tampere Härmälä","2023","12","02","03:30","-8.5","13","2173"
"Tampere Härmälä","2023","12","02","03:40","-8.5","13","7390"
"Tampere Härmälä","2023","12","02","03:50","-8.5","13","14333"
"Tampere Härmälä","2023","12","02","04:00","-8.5","13","12478"
"Tampere Härmälä","2023","12","02","04:10","-8.5","13","6091"
"Tampere Härmälä","2023","12","02","04:20","-8.4","13","4256"
"Tampere Härmälä","2023","12","02","04:30","-8.3","13","4976"
"Tampere Härmälä","2023","12","02","04:40","-8.2","13","7305"
"Tampere Härmälä","2023","12","02","04:50","-8.2","13","7856"
"Tampere Härmälä","2023","12","02","05:00","-8.2","13","7572"
"Tampere Härmälä","2023","12","02","05:10","-8.1","13","8924"
"Tampere Härmälä","2023","12","02","05:20","-8.1","13","9688"
"Tampere Härmälä","2023","12","02","05:30","-8.2","12","8931"
"Tampere Härmälä","2023","12","02","05:40","-8.2","12","7918"
"Tampere Härmälä","2023","12","02","05:50","-8.2","11","5491"
"Tampere Härmälä","2023","12","02","06:00","-8.3","12","6289"
"Tampere Härmälä","2023","12","02","06:10","-8.3","13","5022"
"Tampere Härmälä","2023","12","02","06:20","-8.3","13","3617"
"Tampere Härmälä","2023","12","02","06:30","-8.3","12","4256"
"Tampere Härmälä","2023","12","02","06:40","-8.3","11","3337"
"Tampere Härmälä","2023","12","02","06:50","-8.3","13","2705"
"Tampere Härmälä","2023","12","02","07:00","-8.3","13","4345"
"Tampere Härmälä","2023","12","02","07:10","-8.3","13","3264"
"Tampere Härmälä","2023","12","02","07:20","-8.3","13","3480"
"Tampere Härmälä","2023","12","02","07:30","-8.3","13","4480"
"Tampere Härmälä","2023","12","02","07:40","-8.2","12","3766"
"Tampere Härmälä","2023","12","02","07:50","-8.2","12","2997"
"Tampere Härmälä","2023","12","02","08:00","-8.2","14","3934"
"Tampere Härmälä","2023","12","02","08:10","-8.2","13","3386"
"Tampere Härmälä","2023","12","02","08:20","-8.3","13","3490"
"Tampere Härmälä","2023","12","02","08:30","-8.3","13","3110"
"Tampere Härmälä","2023","12","02","08:40","-8.3","13","3308"
"Tampere Härmälä","2023","12","02","08:50","-8.3","13","3576"
"Tampere Härmälä","2023","12","02","09:00","-8.3","13","3776"
"Tampere Härmälä","2023","12","02","09:10","-8.2","14","4020"
"Tampere Härmälä","2023","12","02","09:20","-8.2","14","5998"
"Tampere Härmälä","2023","12","02","09:30","-8.2","14","6182"
"Tampere Härmälä","2023","12","02","09:40","-8.2","14","6343"
"Tampere Härmälä","2023","12","02","09:50","-8.2","14","8409"
"Tampere Härmälä","2023","12","02","10:00","-8.2","14","10070"
"Tampere Härmälä","2023","12","02","10:10","-8.1","14","8116"
"Tampere Härmälä","2023","12","02","10:20","-8.1","14","7559"
"Tampere Härmälä","2023","12","02","10:30","-8.1","14","9307"
"Tampere Härmälä","2023","12","02","10:40","-8.1","14","9531"
"Tampere Härmälä","2023","12","02","10:50","-8.1","14","12087"
"Tampere Härmälä","2023","12","02","11:00","-8.1","14","13376"
"Tampere Härmälä","2023","12","02","11:10","-8.2","14","13676"
"Tampere Härmälä","2023","12","02","11:20","-8.3","14","13491"
"Tampere Härmälä","2023","12","02","11:30","-8.4","14","15496"
"Tampere Härmälä","2023","12","02","11:40","-8.5","14","18062"
"Tampere Härmälä","2023","12","02","11:50","-8.7","14","19387"
"Tampere Härmälä","2023","12","02","12:00","-8.9","14","29890"
"Tampere Härmälä","2023","12","02","12:10","-9.1","14","29791"
"Tampere Härmälä","2023","12","02","12:20","-9.2","14","40395"
"Tampere Härmälä","2023","12","02","12:30","-9.5","14","37081"
"Tampere Härmälä","2023","12","02","12:40","-10","14","50000"
"Tampere Härmälä","2023","12","02","12:50","-10.5","13","50000"
"Tampere Härmälä","2023","12","02","13:00","-11.1","13","50000"
"Tampere Härmälä","2023","12","02","13:10","-11.6","13","50000"
"Tampere Härmälä","2023","12","02","13:20","-11.9","14","50000"
"Tampere Härmälä","2023","12","02","13:30","-11.7","14","50000"
"Tampere Härmälä","2023","12","02","13:40","-11.5","14","50000"
"Tampere Härmälä","2023","12","02","13:50","-11.1","14","50000"
"Tampere Härmälä","2023","12","02","14:00","-10.7","14","50000"
"Tampere Härmälä","2023","12","02","14:10","-10.5","14","50000"
"Tampere Härmälä","2023","12","02","14:20","-10.3","14","50000"
"Tampere Härmälä","2023","12","02","14:30","-10.3","14","48922"
"Tampere Härmälä","2023","12","02","14:40","-10.3","14","50000"
"Tampere Härmälä","2023","12","02","14:50","-10.4","14","50000"
"Tampere Härmälä","2023","12","02","15:00","-10.5","14","28146"
"Tampere Härmälä","2023","12","02","15:10","-10.7","14","46920"
"Tampere Härmälä","2023","12","02","15:20","-10.9","14","50000"
"Tampere Härmälä","2023","12","02","15:30","-11.1","14","45231"
"Tampere Härmälä","2023","12","02","15:40","-11.2","14","50000"
"Tampere Härmälä","2023","12","02","15:50","-11.4","14","31214"
"Tampere Härmälä","2023","12","02","16:00","-11.4","14","37327"
"Tampere Härmälä","2023","12","02","16:10","-11.5","14","27032"
"Tampere Härmälä","2023","12","02","16:20","-11.7","14","36220"
"Tampere Härmälä","2023","12","02","16:30","-11.9","14","33246"
"Tampere Härmälä","2023","12","02","16:40","-11.9","14","11278"
"Tampere Härmälä","2023","12","02","16:50","-12","14","9331"
"Tampere Härmälä","2023","12","02","17:00","-12.1","14","17546"
"Tampere Härmälä","2023","12","02","17:10","-12.1","14","17042"
"Tampere Härmälä","2023","12","02","17:20","-12.2","14","18578"
"Tampere Härmälä","2023","12","02","17:30","-12.1","14","3054"
"Tampere Härmälä","2023","12","02","17:40","-12.2","14","2825"
"Tampere Härmälä","2023","12","02","17:50","-12.4","14","11252"
"Tampere Härmälä","2023","12","02","18:00","-12.5","14","8908"
"Tampere Härmälä","2023","12","02","18:10","-12.8","14","11056"
"Tampere Härmälä","2023","12","02","18:20","-13.1","14","9023"
"Tampere Härmälä","2023","12","02","18:30","-13.5","13","7175"
"Tampere Härmälä","2023","12","02","18:40","-13.8","13","19656"
"Tampere Härmälä","2023","12","02","18:50","-13.8","14","37114"
"Tampere Härmälä","2023","12","02","19:00","-13.8","13","13886"
"Tampere Härmälä","2023","12","02","19:10","-14.4","13","24015"
"Tampere Härmälä","2023","12","02","19:20","-14.8","13","30645"
"Tampere Härmälä","2023","12","02","19:30","-15.1","13","32950"
"Tampere Härmälä","2023","12","02","19:40","-15.1","13","29470"
"Tampere Härmälä","2023","12","02","19:50","-15.4","14","37263"
"Tampere Härmälä","2023","12","02","20:00","-15.6","13","29213"
"Tampere Härmälä","2023","12","02","20:10","-15.8","13","47197"
"Tampere Härmälä","2023","12","02","20:20","-16","14","43501"
"Tampere Härmälä","2023","12","02","20:30","-15.9","14","48068"
"Tampere Härmälä","2023","12","02","20:40","-16.3","13","47410"
"Tampere Härmälä","2023","12","02","20:50","-16.4","13","46068"
"Tampere Härmälä","2023","12","02","21:00","-16.6","13","31701"
"Tampere Härmälä","2023","12","02","21:10","-16.8","14","47009"
"Tampere Härmälä","2023","12","02","21:20","-16.9","13","44442"
"Tampere Härmälä","2023","12","02","21:30","-17.1","14","44120"
"Tampere Härmälä","2023","12","02","21:40","-17.3","14","35709"
"Tampere Härmälä","2023","12","02","22:00","-17.5","14","39139"
"Tampere Härmälä","2023","12","02","23:00","-15.1","14","25887"
"Tampere Härmälä","2023","12","02","23:10","-14.9","14","27087"
"Tampere Härmälä","2023","12","02","23:20","-14.7","14","41615"
"Tampere Härmälä","2023","12","02","23:30","-14.6","14","37656"
"Tampere Härmälä","2023","12","02","23:40","-14.3","14","37455"
"Tampere Härmälä","2023","12","02","23:50","-14.2","14","34917"
"Tampere Härmälä","2023","12","03","00:00","-14.1","14","45711"
"Tampere Härmälä","2023","12","03","00:10","-14","14","50000"
"Tampere Härmälä","2023","12","03","00:20","-13.9","14","31004"
"Tampere Härmälä","2023","12","03","00:30","-13.9","14","29145"
"Tampere Härmälä","2023","12","03","00:40","-13.9","14","27009"
"Tampere Härmälä","2023","12","03","00:50","-13.7","14","23837"
"Tampere Härmälä","2023","12","03","01:00","-13.8","14","12709"
"Tampere Härmälä","2023","12","03","01:10","-13.8","14","10343"
"Tampere Härmälä","2023","12","03","01:20","-13.7","14","5746"
"Tampere Härmälä","2023","12","03","01:30","-13.7","14","5556"
"Tampere Härmälä","2023","12","03","01:40","-13.6","14","7254"
"Tampere Härmälä","2023","12","03","01:50","-13.6","14","7786"
"Tampere Härmälä","2023","12","03","02:00","-13.5","14","6133"
"Tampere Härmälä","2023","12","03","02:10","-13.3","14","4136"
"Tampere Härmälä","2023","12","03","02:20","-13.2","14","3353"
"Tampere Härmälä","2023","12","03","02:30","-13.1","14","3198"
"Tampere Härmälä","2023","12","03","02:40","-13.1","14","5356"
"Tampere Härmälä","2023","12","03","02:50","-13.2","14","7239"
"Tampere Härmälä","2023","12","03","03:00","-13.1","14","4690"
"Tampere Härmälä","2023","12","03","03:10","-13","13","3985"
"Tampere Härmälä","2023","12","03","03:20","-12.9","13","3533"
"Tampere Härmälä","2023","12","03","03:30","-12.8","13","3664"
"Tampere Härmälä","2023","12","03","03:40","-12.6","14","2655"
"Tampere Härmälä","2023","12","03","03:50","-12.3","14","1654"
"Tampere Härmälä","2023","12","03","04:00","-12.2","14","1698"
"Tampere Härmälä","2023","12","03","04:10","-12.2","14","3278"
"Tampere Härmälä","2023","12","03","04:20","-12","14","3987"
"Tampere Härmälä","2023","12","03","04:30","-11.9","14","4897"
"Tampere Härmälä","2023","12","03","04:40","-11.7","14","4109"
"Tampere Härmälä","2023","12","03","04:50","-11.6","14","3456"
"Tampere Härmälä","2023","12","03","05:00","-11.5","14","3686"
"Tampere Härmälä","2023","12","03","05:10","-11.3","14","2583"
"Tampere Härmälä","2023","12","03","05:20","-11.2","14","2780"
"Tampere Härmälä","2023","12","03","05:30","-11.1","14","2284"
"Tampere Härmälä","2023","12","03","05:40","-11","14","2118"
"Tampere Härmälä","2023","12","03","05:50","-10.9","14","1547"
"Tampere Härmälä","2023","12","03","06:00","-10.9","14","1699"
"Tampere Härmälä","2023","12","03","06:10","-10.8","14","2219"
"Tampere Härmälä","2023","12","03","06:20","-10.8","14","1828"
"Tampere Härmälä","2023","12","03","06:30","-10.8","14","1374"
"Tampere Härmälä","2023","12","03","06:40","-10.8","14","1098"
"Tampere Härmälä","2023","12","03","06:50","-10.9","14","1598"
"Tampere Härmälä","2023","12","03","07:00","-11","14","2583"
"Tampere Härmälä","2023","12","03","07:10","-11.2","14","1992"
"Tampere Härmälä","2023","12","03","07:20","-11.4","14","2353"
"Tampere Härmälä","2023","12","03","07:30","-11.5","14","3170"
"Tampere Härmälä","2023","12","03","07:40","-11.6","14","7197"
"Tampere Härmälä","2023","12","03","07:50","-11.6","14","5753"
"Tampere Härmälä","2023","12","03","08:00","-11.4","14","4964"
"Tampere Härmälä","2023","12","03","08:10","-11.2","14","3661"
"Tampere Härmälä","2023","12","03","08:20","-11","14","3317"
"Tampere Härmälä","2023","12","03","08:30","-10.9","14","3893"
"Tampere Härmälä","2023","12","03","08:40","-10.9","14","4231"
"Tampere Härmälä","2023","12","03","08:50","-11","14","6915"
"Tampere Härmälä","2023","12","03","09:00","-11.3","14","6500"
"Tampere Härmälä","2023","12","03","09:10","-11.3","14","11500"
"Tampere Härmälä","2023","12","03","09:20","-11.1","14","21649"
"Tampere Härmälä","2023","12","03","09:30","-10.8","14","27809"
"Tampere Härmälä","2023","12","03","09:40","-10.1","14","27194"
"Tampere Härmälä","2023","12","03","09:50","-9.7","14","22526"
"Tampere Härmälä","2023","12","03","10:00","-9.5","14","23629"
"Tampere Härmälä","2023","12","03","10:10","-9.6","14","17713"
"Tampere Härmälä","2023","12","03","10:20","-9.9","14","50000"
"Tampere Härmälä","2023","12","03","10:30","-10.1","14","50000"
"Tampere Härmälä","2023","12","03","10:40","-10.4","14","49847"
"Tampere Härmälä","2023","12","03","10:50","-10.5","14","24590"
"Tampere Härmälä","2023","12","03","11:00","-10.6","14","29028"
"Tampere Härmälä","2023","12","03","11:10","-10.8","14","30862"
"Tampere Härmälä","2023","12","03","11:20","-11.2","14","27151"
"Tampere Härmälä","2023","12","03","11:30","-11.5","14","32862"
"Tampere Härmälä","2023","12","03","11:40","-11.9","14","30444"
"Tampere Härmälä","2023","12","03","11:50","-12.1","14","29939"
"Tampere Härmälä","2023","12","03","12:00","-12.4","14","39605"
"Tampere Härmälä","2023","12","03","12:10","-12.5","14","48055"
"Tampere Härmälä","2023","12","03","12:20","-12.5","14","50000"
"Tampere Härmälä","2023","12","03","12:30","-12.8","14","50000"
"Tampere Härmälä","2023","12","03","12:40","-12.9","14","41986"
"Tampere Härmälä","2023","12","03","12:50","-13.1","14","27794"
"Tampere Härmälä","2023","12","03","13:00","-13.4","14","46061"
"Tampere Härmälä","2023","12","03","13:10","-13.9","14","48585"
"Tampere Härmälä","2023","12","03","13:20","-14.2","14","50000"
"Tampere Härmälä","2023","12","03","13:30","-14.5","14","43240"
"Tampere Härmälä","2023","12","03","13:40","-14.7","14","29300"
"Tampere Härmälä","2023","12","03","13:50","-14.9","14","19986"
"Tampere Härmälä","2023","12","03","14:00","-15","14","33231"
"Tampere Härmälä","2023","12","03","14:10","-15","14","23999"
"Tampere Härmälä","2023","12","03","14:20","-14.7","14","18079"
"Tampere Härmälä","2023","12","03","14:30","-14.4","14","17106"
"Tampere Härmälä","2023","12","03","14:40","-13.9","14","28228"
"Tampere Härmälä","2023","12","03","14:50","-13.5","14","21135"
"Tampere Härmälä","2023","12","03","15:00","-13.3","14","18987"
"Tampere Härmälä","2023","12","03","15:10","-13","14","17123"
"Tampere Härmälä","2023","12","03","15:20","-12.7","14","12749"
"Tampere Härmälä","2023","12","03","15:30","-12.2","14","15429"
"Tampere Härmälä","2023","12","03","15:40","-12.1","14","17550"
"Tampere Härmälä","2023","12","03","15:50","-11.8","14","12567"
"Tampere Härmälä","2023","12","03","16:00","-11.6","14","15617"
"Tampere Härmälä","2023","12","03","16:10","-11","14","20552"
"Tampere Härmälä","2023","12","03","16:20","-10.9","14","26658"
"Tampere Härmälä","2023","12","03","16:30","-10.8","14","20163"
"Tampere Härmälä","2023","12","03","16:40","-10.8","14","11783"
"Tampere Härmälä","2023","12","03","16:50","-10.7","14","8023"
"Tampere Härmälä","2023","12","03","17:00","-10.7","14","10759"
"Tampere Härmälä","2023","12","03","17:10","-10.8","14","10098"
"Tampere Härmälä","2023","12","03","17:20","-10.8","14","7889"
"Tampere Härmälä","2023","12","03","17:30","-10.9","14","9473"
"Tampere Härmälä","2023","12","03","17:40","-11","14","8539"
"Tampere Härmälä","2023","12","03","17:50","-11.1","14","10696"
"Tampere Härmälä","2023","12","03","18:00","-11.1","14","11832"
"Tampere Härmälä","2023","12","03","18:10","-11.1","14","8278"
"Tampere Härmälä","2023","12","03","18:20","-11","14","7368"
"Tampere Härmälä","2023","12","03","18:30","-10.4","14","8509"
"Tampere Härmälä","2023","12","03","18:40","-10.2","14","8848"
"Tampere Härmälä","2023","12","03","18:50","-10.5","14","6391"
"Tampere Härmälä","2023","12","03","19:00","-10.7","14","7469"
"Tampere Härmälä","2023","12","03","19:10","-10.8","14","6064"
"Tampere Härmälä","2023","12","03","19:20","-10.9","14","7288"
"Tampere Härmälä","2023","12","03","19:30","-11","14","10756"
"Tampere Härmälä","2023","12","03","19:40","-11","14","15708"
"Tampere Härmälä","2023","12","03","19:50","-11.1","14","12417"
"Tampere Härmälä","2023","12","03","20:00","-11.1","14","12847"
"Tampere Härmälä","2023","12","03","20:10","-11","14","2683"
"Tampere Härmälä","2023","12","03","20:20","-11.1","14","2087"
"Tampere Härmälä","2023","12","03","20:30","-11.1","14","4282"
"Tampere Härmälä","2023","12","03","20:40","-11.2","14","5521"
"Tampere Härmälä","2023","12","03","20:50","-11.5","14","6611"
"Tampere Härmälä","2023","12","03","21:00","-11.9","14","4728"
"Tampere Härmälä","2023","12","03","21:10","-12.4","14","9878"
"Tampere Härmälä","2023","12","03","21:20","-12.9","14","5116"
"Tampere Härmälä","2023","12","03","21:30","-13.4","14","5815"
"Tampere Härmälä","2023","12","03","21:40","-13.8","14","3956"
"Tampere Härmälä","2023","12","03","21:50","-14.3","14","6208"
"Tampere Härmälä","2023","12","03","22:00","-14.8","14","12518"
"Tampere Härmälä","2023","12","03","22:10","-15.1","14","29969"
"Tampere Härmälä","2023","12","03","22:20","-15.5","14","26171"
"Tampere Härmälä","2023","12","03","22:30","-15.8","14","50000"
"Tampere Härmälä","2023","12","03","22:40","-16.1","14","50000"
"Tampere Härmälä","2023","12","03","22:50","-16.3","14","41947"
"Tampere Härmälä","2023","12","03","23:00","-16.5","14","50000"
"Tampere Härmälä","2023","12","03","23:10","-16.6","14","50000"
"Tampere Härmälä","2023","12","03","23:20","-16.6","14","50000"
"Tampere Härmälä","2023","12","03","23:30","-17","14","45425"
